Cycle,omega,b,TemperatureAvg,InternalResistance,ChargeTime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1,0.010223311,0.010306131,34.8646865,0.015467586,11.05615833,-0.130836779,-6.573914142,3.538473783,1637,0.964138545
2,0.010234338,0.010306267,34.84655146,0.015460762,11.05568083,-0.135042833,-6.591191656,3.544841641,1636,0.964553636
3,0.010238144,0.010296052,34.83492182,0.015450312,11.050975,-0.13648091,-6.578059436,3.544063501,1635,0.965073364
4,0.010234888,0.010280813,34.83225588,0.015439206,11.04822708,-0.137663672,-6.578762295,3.544647342,1634,0.965583545
5,0.010233619,0.010269154,34.82241112,0.015428584,11.04680833,-0.137603439,-6.594190636,3.551645594,1633,0.965943636
6,0.010230903,0.010257846,34.81055693,0.015420292,11.04549833,-0.138418725,-6.592509085,3.55021813,1632,0.966377455
7,0.010229083,0.010248154,34.80097533,0.015413482,11.04489048,-0.138985958,-6.598407545,3.553008012,1631,0.966455
8,0.010225485,0.010237394,34.79571807,0.015406463,11.04657792,-0.139483316,-6.59992977,3.554251364,1630,0.96678
9,0.010221789,0.010227084,34.79250594,0.015400083,11.04586667,-0.139781382,-6.592829091,3.551973375,1629,0.966791091
10,0.010218112,0.010217761,34.7873482,0.015393262,11.04532917,-0.139852298,-6.590498236,3.552297994,1628,0.966909
11,0.010214529,0.010200723,34.77052715,0.015379848,11.043663,-0.140910991,-6.592280479,3.554097566,1627,0.966988818
12,0.010208308,0.010183214,34.76303486,0.015367998,11.04208783,-0.140592025,-6.58843522,3.552939895,1626,0.967058636
13,0.010200939,0.010167819,34.76025984,0.015359055,11.04209133,-0.140897358,-6.594523577,3.553561944,1625,0.967164818
14,0.010195,0.010155249,34.75162228,0.015350906,11.04194767,-0.140932335,-6.59181505,3.553735803,1624,0.966108636
15,0.010189128,0.010144298,34.74900574,0.015344689,11.041784,-0.141314745,-6.578982806,3.549530791,1623,0.967056545
16,0.010183828,0.010133533,34.75368543,0.015339426,11.04201333,-0.141554464,-6.584081742,3.550464858,1622,0.967362182
17,0.010179018,0.010125062,34.76019829,0.015331639,11.041944,-0.141453834,-6.580084719,3.548134538,1621,0.967394364
18,0.010175773,0.010119126,34.76835694,0.015325774,11.04015517,-0.14132768,-6.576364298,3.545590985,1620,0.967544636
19,0.010173079,0.010114377,34.77351906,0.015321904,11.04019417,-0.14138396,-6.575097504,3.545820084,1619,0.967484727
20,0.010169795,0.010109632,34.78032084,0.015319703,11.04024733,-0.14176936,-6.571900599,3.543811412,1618,0.967467909
21,0.010166374,0.010104535,34.79442235,0.015316069,11.04025417,-0.141841165,-6.567262018,3.551489869,1617,0.967520182
22,0.010162468,0.010099096,34.80500903,0.015311707,11.04037983,-0.142582216,-6.564134336,3.552354332,1616,0.967486091
23,0.010159923,0.010095696,34.81282607,0.015306973,11.04026367,-0.14325906,-6.558296729,3.535904359,1615,0.967451909
24,0.010158037,0.010094087,34.83192584,0.015304339,11.04032917,-0.143669225,-6.55564225,3.533800276,1614,0.967451727
25,0.010153957,0.010090928,34.84428624,0.015302608,11.040378,-0.143983882,-6.551023518,3.531412718,1613,0.967486455
26,0.01014897,0.010089326,34.8449546,0.015303085,11.04023917,-0.143676906,-6.53805633,3.528107023,1612,0.967386
27,0.010144678,0.010088542,34.83738342,0.015306535,11.04021467,-0.143760608,-6.537415773,3.525458852,1611,0.967441909
28,0.010140653,0.010087889,34.82578051,0.015310317,11.0401995,-0.143765028,-6.533788593,3.523709551,1610,0.967476727
29,0.01013705,0.010087314,34.82002833,0.015312187,11.04017333,-0.143825878,-6.540218264,3.523785721,1609,0.967581727
30,0.010136511,0.010089635,34.81959921,0.015313191,11.03993567,-0.143760101,-6.53852641,3.522410666,1608,0.967537364
31,0.010135593,0.010091834,34.82124753,0.015312657,11.04004133,-0.144643215,-6.534780391,3.510724349,1607,0.967516
32,0.010135222,0.010094028,34.82299705,0.015314143,11.0398785,-0.144599563,-6.534306711,3.508765859,1606,0.967510727
33,0.010134506,0.01009493,34.82843153,0.015313532,11.0399725,-0.143918815,-6.532370142,3.522984589,1605,0.967485
34,0.01013452,0.010096292,34.82928261,0.015313589,11.04011733,-0.143848072,-6.533234291,3.524009886,1604,0.967539909
35,0.010136328,0.010099827,34.83464556,0.015311477,11.04019233,-0.143944296,-6.542919276,3.526446848,1603,0.967558273
36,0.0101382,0.010102173,34.84648024,0.015306943,11.04031567,-0.14467548,-6.545642818,3.526708626,1602,0.967427818
37,0.010137819,0.010101755,34.86425963,0.015303021,11.0402595,-0.144804361,-6.529025386,3.5233061,1601,0.967345
38,0.010138246,0.010102913,34.88247397,0.015298334,11.04034333,-0.144952863,-6.523957106,3.52284826,1600,0.967468091
39,0.010136865,0.01010396,34.89416652,0.015296047,11.04036633,-0.144863256,-6.517236165,3.520258693,1599,0.967350909
40,0.010132323,0.010103298,34.89321864,0.015294677,11.0404975,-0.144708751,-6.512854956,3.516702689,1598,0.967283455
41,0.010127193,0.010102618,34.88464492,0.015297422,11.04040567,-0.143802731,-6.512738733,3.514023986,1597,0.967223818
42,0.010122804,0.010103044,34.8809786,0.015298708,11.04041683,-0.144037672,-6.517462546,3.512117683,1596,0.967246273
43,0.0101176,0.010103319,34.87146398,0.015301227,11.0402755,-0.144066351,-6.510656301,3.507281108,1595,0.967171545
44,0.010111015,0.010101416,34.86339517,0.015302484,11.04023083,-0.143883717,-6.509283428,3.502943343,1594,0.967216182
45,0.010105577,0.010101014,34.8562158,0.015305217,11.0399205,-0.143460153,-6.5019683,3.498080545,1593,0.967289182
46,0.010101628,0.010102459,34.85080452,0.015308175,11.03972117,-0.142569709,-6.49170711,3.493633676,1592,0.967197545
47,0.010099815,0.010105524,34.84848465,0.0153101,11.03982,-0.142447375,-6.497545746,3.49454776,1591,0.967203455
48,0.010097111,0.010106544,34.85120938,0.015311791,11.03981017,-0.142391011,-6.502043019,3.493277452,1590,0.967156545
49,0.010096914,0.010108843,34.85839363,0.015309742,11.03970333,-0.14243394,-6.506504342,3.493463123,1589,0.967283545
50,0.010096828,0.010109574,34.87797739,0.01530726,11.0396255,-0.142495021,-6.503699801,3.493943429,1588,0.967233818
51,0.010099021,0.010112503,34.90341574,0.015304457,11.03961383,-0.142929339,-6.504508514,3.496584932,1587,0.967285091
52,0.010102274,0.010116057,34.92621498,0.015300482,11.0395685,-0.142662778,-6.497353156,3.496093001,1586,0.967300455
53,0.010105946,0.010119747,34.9528067,0.015295593,11.03953567,-0.14281731,-6.501811863,3.499701768,1585,0.967209636
54,0.010109331,0.010124008,34.97796711,0.015289788,11.0393775,-0.142900142,-6.500083817,3.500209153,1584,0.967341545
55,0.010111716,0.01012564,35.00192507,0.015286319,11.03946833,-0.142926916,-6.503472866,3.502883509,1583,0.967348364
56,0.010112717,0.010126383,35.03068883,0.015280664,11.0395095,-0.143274862,-6.506112789,3.504641551,1582,0.966948455
57,0.010114116,0.010128533,35.05344092,0.015275974,11.03953367,-0.143476141,-6.508400908,3.508775317,1581,0.967152455
58,0.010115062,0.01013003,35.07518542,0.015271454,11.03947017,-0.143749622,-6.507531346,3.509596771,1580,0.967218182
59,0.010114663,0.010131317,35.09872579,0.015269355,11.03950583,-0.14404847,-6.499155401,3.50905389,1579,0.967202818
60,0.010114977,0.010134946,35.11437242,0.015268148,11.03951917,-0.143722508,-6.502883646,3.510695074,1578,0.967128273
61,0.010113047,0.010135834,35.12631284,0.015267011,11.03976117,-0.143143896,-6.500153201,3.508674152,1577,0.966997455
