Cycle,omega,b,TemperatureAvg,InternalResistance,ChargeTime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1,0.010151201,0.0102843,35.58764121,0.01546871,10.04402,-0.138824811,-6.54744855,3.528571017,1157,0.963846091
2,0.01016581,0.010285395,35.60025807,0.015453776,10.04428,-0.138458431,-6.588061995,3.536605727,1156,0.965031818
3,0.010164691,0.010266403,35.59733511,0.015433871,10.04422,-0.138686829,-6.60263088,3.550194783,1155,0.965523182
4,0.010162194,0.010249974,35.60050268,0.015417631,10.04443792,-0.13924844,-6.581222633,3.54849548,1154,0.965959364
5,0.010158174,0.010234097,35.59247942,0.015403474,10.044259,-0.139488146,-6.605043622,3.557122359,1153,0.966458455
6,0.010155352,0.010223192,35.58113805,0.015399495,10.04415722,-0.139641647,-6.612493033,3.557354944,1152,0.966795273
7,0.01014925,0.010208053,35.57612458,0.01538862,10.04407405,-0.139607068,-6.625885836,3.559529436,1151,0.966993636
8,0.010144264,0.010196402,35.57405696,0.0153819,10.04394333,-0.139740571,-6.634683858,3.557740438,1150,0.967050818
9,0.010139114,0.010184439,35.57276932,0.015374601,10.04392407,-0.139881006,-6.620843312,3.554068455,1149,0.967215727
10,0.010135112,0.010175123,35.57170046,0.015367978,10.0438405,-0.140162334,-6.611347147,3.550233965,1148,0.967301909
11,0.010128041,0.010153618,35.56888017,0.015349756,10.0438135,-0.140450029,-6.620534063,3.55216745,1147,0.967347545
12,0.010118971,0.010133352,35.56136364,0.01533748,10.0437005,-0.140657542,-6.605094858,3.548226192,1146,0.967309455
13,0.010108203,0.010115938,35.56008375,0.015326972,10.04364483,-0.140981112,-6.614180089,3.545148921,1145,0.967314091
14,0.010098476,0.010101461,35.54702835,0.015321602,10.04357683,-0.141012078,-6.619116787,3.541467411,1144,0.967317455
15,0.010090522,0.010090347,35.54481844,0.015315856,10.04361933,-0.141099856,-6.621874464,3.537495225,1143,0.967448364
16,0.010082043,0.01007703,35.54669934,0.015303284,10.04366217,-0.141497776,-6.619406883,3.534008089,1142,0.967465818
17,0.010077496,0.01007084,35.55382461,0.015298942,10.04373233,-0.141792712,-6.596339223,3.52547273,1141,0.967448
18,0.010072927,0.010064186,35.5626242,0.015292509,10.04388933,-0.142014718,-6.57996128,3.521784301,1140,0.967382091
19,0.010068924,0.0100596,35.57270426,0.015288727,10.04391733,-0.142272843,-6.585662265,3.524992166,1139,0.967497545
20,0.010062587,0.010052398,35.58144601,0.015283838,10.0440565,-0.142213422,-6.590809645,3.527607507,1138,0.967414273
21,0.01006057,0.010050783,35.5897877,0.015282921,10.0440715,-0.142272753,-6.577458959,3.524344285,1137,0.967525545
22,0.010054452,0.01004386,35.60217261,0.015279008,10.04418483,-0.142440135,-6.596120717,3.526171254,1136,0.967482364
23,0.01005484,0.01004506,35.60962776,0.015277656,10.04428167,-0.142349131,-6.570230216,3.520891015,1135,0.967468818
24,0.010053594,0.0100451,35.63111633,0.015270769,10.04428633,-0.142598507,-6.555922658,3.517391413,1134,0.967438909
25,0.010048693,0.010041003,35.64774877,0.015268227,10.04429433,-0.142742208,-6.542544098,3.511779204,1133,0.967374636
26,0.010044434,0.010041607,35.65869402,0.015270331,10.04432933,-0.142588582,-6.547759445,3.512295353,1132,0.967317273
27,0.010035952,0.010037242,35.65499957,0.015271753,10.044378,-0.142569448,-6.551336292,3.507304439,1131,0.967268182
28,0.010029559,0.01003692,35.64242892,0.015274812,10.044382,-0.142393368,-6.541500551,3.503127327,1130,0.967272545
29,0.010024134,0.010037575,35.63024476,0.015274518,10.04437983,-0.142132047,-6.535244564,3.49341343,1129,0.967427091
30,0.010021696,0.010041163,35.62438144,0.015277325,10.04436733,-0.1422337,-6.51987598,3.488084676,1128,0.967227727
31,0.010017184,0.01004191,35.62524597,0.015278616,10.0444425,-0.142191843,-6.516116191,3.482036988,1127,0.967353455
32,0.01001491,0.010045395,35.6263624,0.015276729,10.04435683,-0.142216082,-6.505757695,3.479536675,1126,0.967272636
33,0.010009949,0.010044048,35.63205175,0.015278732,10.044246,-0.14238665,-6.523780541,3.484229576,1125,0.967293545
34,0.010006097,0.010043272,35.63794283,0.015279632,10.04417117,-0.142328804,-6.532821693,3.484821716,1124,0.967382818
35,0.010006373,0.010048164,35.64485326,0.015279323,10.04410717,-0.142303997,-6.52592218,3.480831606,1123,0.967328091
36,0.010005895,0.010050424,35.65798582,0.015279205,10.04406833,-0.142226924,-6.507301632,3.476419551,1122,0.967319636
37,0.010008429,0.010056874,35.67752425,0.015276354,10.0440485,-0.142379555,-6.506253528,3.478724907,1121,0.967159182
38,0.010008055,0.010058881,35.70139851,0.015277108,10.04399117,-0.142717532,-6.502875554,3.477648717,1120,0.967230273
39,0.010006609,0.010060391,35.72146312,0.015276841,10.04398767,-0.143021893,-6.497183892,3.476602378,1119,0.967233727
40,0.010002552,0.010060343,35.73375109,0.015276842,10.04390383,-0.142875277,-6.508652171,3.475736163,1118,0.967043455
41,0.009998636,0.010062361,35.73495839,0.015278743,10.04377467,-0.142985437,-6.525218163,3.477954599,1117,0.967045545
42,0.009995554,0.010066698,35.72979649,0.015281917,10.04372683,-0.143116975,-6.531234526,3.472660274,1116,0.967053727
43,0.009991808,0.010070402,35.72733709,0.015280081,10.04373783,-0.142923801,-6.515642822,3.461855284,1115,0.967073364
44,0.009987452,0.01007465,35.7200275,0.015286868,10.04374567,-0.142983323,-6.512815033,3.45756789,1114,0.966992909
45,0.009982368,0.010077175,35.71201391,0.015291375,10.04369883,-0.143053739,-6.501938419,3.452357137,1113,0.966920182
46,0.009977562,0.010080207,35.70177536,0.015296086,10.041996,-0.143137668,-6.49817659,3.446997106,1112,0.966982545
47,0.009972729,0.010083096,35.69403092,0.015298023,10.04196417,-0.14303064,-6.502446984,3.44498144,1111,0.966978182
48,0.009969349,0.010086896,35.68960391,0.015295206,10.041877,-0.142766079,-6.533586044,3.448798261,1110,0.966861364
49,0.009967701,0.010090995,35.69251594,0.015297306,10.04189567,-0.142684734,-6.54300295,3.449504252,1109,0.966960909
50,0.009967326,0.010096178,35.70160431,0.015299449,10.041946,-0.142950653,-6.547535628,3.44701617,1108,0.966927182
51,0.009965393,0.010097831,35.71944569,0.015299916,10.04194833,-0.142847584,-6.532800902,3.442882213,1107,0.966832636
52,0.009964327,0.010099237,35.74397361,0.015297932,10.04202717,-0.142775562,-6.517338232,3.444266252,1106,0.966663273
53,0.009964755,0.010102437,35.76355958,0.015298422,10.04208767,-0.142862163,-6.538819403,3.449435236,1105,0.966791091
54,0.009965171,0.010104482,35.79025918,0.015289521,10.04218217,-0.142723878,-6.56459611,3.454935218,1104,0.966762182
55,0.009964381,0.010105613,35.81556285,0.015285339,10.04227067,-0.142613893,-6.566267277,3.457733881,1103,0.966822273
56,0.009964758,0.01010806,35.83999397,0.015278934,10.04401017,-0.142746501,-6.572603771,3.458201755,1102,0.966840182
57,0.009965796,0.010110719,35.86288619,0.015276949,10.044002,-0.142913383,-6.568563571,3.457190758,1101,0.966685
58,0.009966054,0.010113593,35.89078521,0.015270915,10.04408917,-0.143021618,-6.542882297,3.451385034,1100,0.966599
59,0.009965992,0.010117743,35.91117104,0.01526626,10.04404617,-0.143059088,-6.534178345,3.446339742,1099,0.966723091
60,0.0099646,0.010119822,35.92983359,0.015260078,10.04406833,-0.142952174,-6.516595914,3.444233536,1098,0.966658727
61,0.009964819,0.01012482,35.94660679,0.015257387,10.04412367,-0.142964235,-6.513469243,3.443783028,1097,0.966674455
62,0.009962307,0.010127389,35.96099849,0.015257855,10.044142,-0.143630036,-6.499706271,3.43422127,1096,0.966587
63,0.009957759,0.010127744,35.9673926,0.015257771,10.044033,-0.14379383,-6.48734878,3.430439079,1095,0.966622273
64,0.009954494,0.010130262,35.96583472,0.015261501,10.04398283,-0.14383336,-6.46363116,3.424012359,1094,0.966510636
65,0.009952175,0.010134202,35.96502908,0.015263548,10.04401967,-0.144078123,-6.484366495,3.424940343,1093,0.966482909
66,0.009947727,0.010135599,35.96425692,0.01526619,10.04398633,-0.1438999,-6.480345724,3.424948717,1092,0.966431455
67,0.009942313,0.010136529,35.96509783,0.015270764,10.04400317,-0.144412744,-6.476453028,3.422232685,1091,0.966382909
68,0.009937102,0.010137966,35.95542336,0.015279251,10.04403933,-0.144155413,-6.486973859,3.422771034,1090,0.966337182
69,0.009931629,0.010140526,35.94496831,0.015283139,10.044076,-0.1439315,-6.482928513,3.419951527,1089,0.966289909
70,0.009925297,0.010141933,35.92911562,0.015288023,10.04396533,-0.14386398,-6.491484785,3.413747348,1088,0.966207455
71,0.009918702,0.010142814,35.91233763,0.015290024,10.043951,-0.143870869,-6.496957632,3.406955254,1087,0.966190273
72,0.009914396,0.010146819,35.89062767,0.015294181,10.04390867,-0.14317568,-6.507969187,3.408128774,1086,0.966211636
73,0.009910479,0.010152326,35.87198424,0.015299273,10.04394467,-0.14285613,-6.499594396,3.400635149,1085,0.966242364
74,0.009905532,0.010155961,35.85378289,0.015307959,10.04384983,-0.142767792,-6.497169531,3.396360245,1084,0.966085
75,0.009899684,0.010158465,35.83644947,0.015308455,10.04377517,-0.14239755,-6.464958999,3.384632574,1083,0.966093364
76,0.00989628,0.010163925,35.82287744,0.015314695,10.04372533,-0.142473896,-6.453175536,3.375893225,1082,0.966033727
77,0.009894947,0.010171235,35.80951947,0.015318509,10.04363967,-0.141535037,-6.445769931,3.373490121,1081,0.966115091
78,0.009894189,0.010179275,35.79651641,0.015321592,10.04350433,-0.141716512,-6.433020787,3.372065175,1080,0.965993273
